Macro,Sector,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
Brent_Crude,Nifty_Realty_Return,-0.018341226963700538,0.8101645315471001,-0.08653891056123465,0.2561950918289754
Brent_Crude,Nifty_Energy_Return,-0.04092534930454272,0.5918368563394295,-0.05117799481762008,0.5024384586722146
Brent_Crude,Nifty_Infra_Return,-0.012836133133682474,0.8664993159264525,-0.04907542925481932,0.5201779871773727
Brent_Crude,Nifty_PSE_Return,0.03714097973993598,0.6265702797800086,0.009662006321364503,0.8993084978062383
Brent_Crude,Nifty_Media_Return,0.04880026040911349,0.5225230682419983,-0.006939833138756798,0.9275847949656223
India_GDP,Nifty_50_Return,-0.021139086108416923,0.7818839225182336,-0.007186314764730754,0.9250202177188712
India_GDP,Nifty_Bank_Return,-0.02717940407886001,0.7218386089523053,-0.004963284124926055,0.9481750201166451
India_GDP,Nifty_IT_Return,-0.0867705083481147,0.2549199305317538,-0.06855429156402351,0.36874146938067975
India_GDP,Nifty_Pharma_Return,-0.016336507283865268,0.8305826298762037,-0.03862387287278551,0.6128562920660022
India_GDP,Nifty_Auto_Return,0.0021027903695145927,0.9780307809507965,0.0202196454033392,0.7911480554859387
India_GDP,Nifty_FMCG_Return,-0.09874959188446795,0.19484504101465172,-0.10365351339157167,0.1734827583026906
India_GDP,Nifty_Metal_Return,0.08309257223630442,0.27569008787592114,0.14126006715800588,0.06299145543490021
India_GDP,Nifty_Realty_Return,0.01242788697721156,0.870707587285431,0.0701470639022503,0.3576942366705285
India_GDP,Nifty_Energy_Return,0.015452306716781706,0.8396252529700835,0.04067906298662652,0.5940704547961884
India_GDP,Nifty_Infra_Return,0.061664640733692246,0.41890684525427707,0.12410265502428977,0.10277628791917062
India_GDP,Nifty_PSE_Return,0.08414685080947201,0.269622681870625,0.11622100093770947,0.1267136828049793
India_GDP,Nifty_Media_Return,-0.13091751739406865,0.08508903853753383,-0.15117978477414518,0.04644958804580192
India_CPI,Nifty_50_Return,0.041847866696267326,0.5835046202080558,0.018044569199524123,0.8131782889747919
India_CPI,Nifty_Bank_Return,0.032496193588389066,0.6703431856665145,-0.005285263909427814,0.9448181696171621
India_CPI,Nifty_IT_Return,0.07942615293800317,0.2975052607870624,0.06661556222330015,0.3824687237252331
India_CPI,Nifty_Pharma_Return,0.13658366640546615,0.0723185144229955,0.18326130245120342,0.015499426029494195
India_CPI,Nifty_Auto_Return,0.11854556202190265,0.11924483171430507,0.12571940458051137,0.09833803441022884
India_CPI,Nifty_FMCG_Return,0.08958350960534325,0.23978055700035228,0.07560016833764178,0.3214578110526089
India_CPI,Nifty_Metal_Return,-0.047675193723872175,0.5321669541043244,-0.07522680880029402,0.32386028153733176
India_CPI,Nifty_Realty_Return,0.014257065210789906,0.851882074084216,-0.04308021010296411,0.5724593470048983
India_CPI,Nifty_Energy_Return,-0.0206680398570269,0.7866263651674018,-0.039158222302384166,0.6079469760677001
India_CPI,Nifty_Infra_Return,0.006721183778020168,0.9298604098741889,-0.01482134603765013,0.846090946169885
India_CPI,Nifty_PSE_Return,0.059615272679774636,0.4345633125827643,0.06557426589895403,0.3899681583466385
India_CPI,Nifty_Media_Return,0.14258563980121,0.060534746997311956,0.1192763835736198,0.11696874179658379
India_VIX,Nifty_50_Return,-0.26739434923087085,0.00036119653062054597,-0.11991177380263103,0.11501747369290119
India_VIX,Nifty_Bank_Return,-0.26566930519491433,0.00039553392757364126,-0.1224608343918301,0.10744348310223711
India_VIX,Nifty_IT_Return,-0.09814650528782368,0.19759880807536612,-0.029707148475196597,0.697183204963854
India_VIX,Nifty_Pharma_Return,-0.012181762922060538,0.8732464384748114,-0.09694403171987895,0.20317349049472694
India_VIX,Nifty_Auto_Return,-0.20136708918663732,0.007712157326644949,-0.013612074665557646,0.8585112048583246
India_VIX,Nifty_FMCG_Return,-0.15636400523725105,0.03935960289531019,-0.12483676843520329,0.10074183056153424
India_VIX,Nifty_Metal_Return,-0.12986997865647815,0.08763706366469792,-0.08165194616555072,0.28412918869555753
India_VIX,Nifty_Realty_Return,-0.2266327368414616,0.0026369110469139953,-0.127151196995191,0.09453546573415769
India_VIX,Nifty_Energy_Return,-0.14870777446243,0.05018845776914487,-0.05969790556822632,0.4339256155239524
India_VIX,Nifty_Infra_Return,-0.19245674432618434,0.01095249221804718,-0.09482892648567759,0.21325296935618257
India_VIX,Nifty_PSE_Return,-0.1791787573341314,0.01799738008301412,-0.09889398334128593,0.194189892217837
India_VIX,Nifty_Media_Return,-0.23219160870122754,0.0020493327010031787,-0.05669324880580133,0.45745565768233964
USD_INR,Nifty_50_Return,-0.04470797505122536,0.5580226864757607,-0.04130072040775648,0.5884399468120646
USD_INR,Nifty_Bank_Return,-0.054146265461376186,0.47794537952995636,-0.03951251459324012,0.6047015429430682
USD_INR,Nifty_IT_Return,-0.08836742701536669,0.246246501316606,-0.07150886984253538,0.34841454919741904
USD_INR,Nifty_Pharma_Return,-0.012984286188688719,0.8649730496040102,-0.03312053304479056,0.6643901768939242
USD_INR,Nifty_Auto_Return,-0.014216532560350551,0.8522983632519484,0.004037700390102224,0.9578297123398843
USD_INR,Nifty_FMCG_Return,-0.14470074742078454,0.05677817258587024,-0.12959252826105525,0.08832205323029291
USD_INR,Nifty_Metal_Return,0.10559134447314242,0.16553755868083356,0.15037444118568297,0.04764126132915511
USD_INR,Nifty_Realty_Return,-0.00883438991927421,0.9078935435141565,0.03130499159998861,0.6817580093180534
USD_INR,Nifty_Energy_Return,0.007358443495171868,0.9232297193633144,0.02742105413024289,0.7194686727339151
USD_INR,Nifty_Infra_Return,0.056249253966250766,0.46099188734937485,0.10791309547538368,0.1563794895243049
USD_INR,Nifty_PSE_Return,0.08859259833503333,0.24504021104790294,0.10659642928329394,0.1615251046446182
USD_INR,Nifty_Media_Return,-0.12309748372987525,0.10561431151455805,-0.14886414761240355,0.04994475710134437
DXY,Nifty_50_Return,-0.09887399586699663,0.194280485892596,-0.10254990902376215,0.17813201549313334
DXY,Nifty_Bank_Return,-0.09275562216134392,0.22347564685324833,-0.08655510280824068,0.25610579590797933
DXY,Nifty_IT_Return,-0.15765216919376684,0.03774656556142647,-0.19469630313101263,0.010041602274769032
DXY,Nifty_Pharma_Return,-0.11159122112948525,0.14265858879535484,-0.1099738317548573,0.1485748021943905
DXY,Nifty_Auto_Return,-0.090379834495849,0.23561131114917916,-0.06256687994239307,0.4121197082412844
